,Date,Year,Type,Country,Sex,Age,Fatal (Y/N),Time,Fatal,Male,Female
0,25-Jun-2018,2018.0,Boating,USA,F,57,N,Tarde,0,0,1
1,18-Jun-2018,2018.0,Unprovoked,USA,F,11,N,Tarde,0,0,1
2,09-Jun-2018,2018.0,Invalid,USA,M,48,N,Manhã,0,1,0
3,08-Jun-2018,2018.0,Unprovoked,AUSTRALIA,M,Não informada,N,Manhã,0,1,0
4,04-Jun-2018,2018.0,Provoked,MEXICO,M,Não informada,N,Manhã,0,1,0
5,03-Jun-2018,2018.0,Unprovoked,AUSTRALIA,M,Não informada,N,Manhã,0,1,0
6,03-Jun-2018,2018.0,Unprovoked,BRAZIL,M,18,Y,Tarde,1,1,0
7,27-May-2018,2018.0,Unprovoked,USA,M,52,N,Manhã,0,1,0
8,26-May-2018,2018.0,Unprovoked,USA,M,15,N,Tarde,0,1,0
9,26-May-2018,2018.0,Unprovoked,USA,M,12,N,Tarde,0,1,0
10,24-May-2018,2018.0,Provoked,AUSTRALIA,M,32,N,Manhã,0,1,0
11,21-May-2018,2018.0,Unprovoked,USA,M,10,N,Manhã,0,1,0
12,13-May-2018,2018.0,Unprovoked,USA,M,10,N,Tarde,0,1,0
13,13-May-2018,2018.0,Invalid,ENGLAND,M,21,N,Manhã,0,1,0
15,12-May-2018,2018.0,Unprovoked,SOUTH AFRICA,M,Não informada,N,Manhã,0,1,0
16,09-May-2018,2018.0,Questionable,AUSTRALIA,M,Não informada,N,Manhã,0,1,0
17,30-Apr-2018,2018.0,Unprovoked,THAILAND,M,Não informada,N,Manhã,0,1,0
18,28-Apr-2018,2018.0,Unprovoked,COSTA RICA,M,30,N,Manhã,0,1,0
19,28-Apr-2018,2018.0,Unprovoked,AUSTRALIA,M,Não informada,N,Tarde,0,1,0
20,25-Apr-2018,2018.0,Questionable,AUSTRALIA,M,Não informada,N,Manhã,0,1,0
21,25-Apr-2018,2018.0,Unprovoked,AUSTRALIA,M,60,N,Manhã,0,1,0
22,24-Apr-2018,2018.0,Unprovoked,AUSTRALIA,M,Não informada,N,Tarde,0,1,0
23,23-Apr-2018,2018.0,Unprovoked,MALDIVES,M,32,N,Noite,0,1,0
24,22-Apr-2018,2018.0,Unprovoked,SOUTH AFRICA,M,33,N,Manhã,0,1,0
25,19-Apr-2018,2018.0,Unprovoked,USA,M,29,N,Manhã,0,1,0
26,15-Apr-2018,2018.0,Unprovoked,THAILAND,M,54,N,Manhã,0,1,0
27,15-Apr-2018,2018.0,Unprovoked,BRAZIL,M,34,N,Manhã,0,1,0
28,15-Apr-2018,2018.0,Unprovoked,AUSTRALIA,M,41,N,Manhã,0,1,0
29,15-Apr-2018,2018.0,Unprovoked,AUSTRALIA,M,37,N,Manhã,0,1,0
30,14-Apr-2018,2018.0,Unprovoked,BAHAMAS,M,Não informada,N,Manhã,0,1,0
31,10-Apr-2018,2018.0,Invalid,BRAZIL,M,56,N,Manhã,0,1,0
33,05-Apr-2018,2018.0,Unprovoked,BAHAMAS,M,12,N,Tarde,0,1,0
34,03-Apr-2018,2018.0,Unprovoked,SOUTH AFRICA,M,19,N,Tarde,0,1,0
35,31-Mar-2018,2018.0,Unprovoked,USA,M,25,N,Manhã,0,1,0
36,14-Mar-2018,2018.0,Unprovoked,AUSTRALIA,M,10,N,Tarde,0,1,0
39,24-Feb-2018,2018.0,Unprovoked,SOUTH AFRICA,M,38,N,Manhã,0,1,0
40,23-Feb-2018,2018.0,Unprovoked,AUSTRALIA,F,55,N,Noite,0,0,1
41,18-Feb-2018,2018.0,Provoked,AUSTRALIA,M,34,N,Noite,0,1,0
42,15-Feb-2018,2018.0,Unprovoked,AUSTRALIA,M,35,N,Tarde,0,1,0
43,14-Feb-2018,2018.0,Invalid,AUSTRALIA,F,Não informada,N,Tarde,0,0,1
44,11-Feb-2018,2018.0,Invalid,BRAZIL,F,46,N,Manhã,0,0,1
45,03-Feb-2018,2018.0,Unprovoked,ECUADOR,M,45,N,Manhã,0,1,0
46,01-Feb-2018,2018.0,Invalid,AUSTRALIA,M,14,N,Manhã,0,1,0
47,28-Jan-2018,2018.0,Unprovoked,AUSTRALIA,M,18,N,Manhã,0,1,0
48,21-Jan-2018,2018.0,Unprovoked,NEW CALEDONIA,M,40,N,Tarde,0,1,0
49,14-Jan-2018,2018.0,Unprovoked,AUSTRALIA,M,Não informada,N,Tarde,0,1,0
50,13-Jan-2018,2018.0,Unprovoked,AUSTRALIA,M,28,N,Manhã,0,1,0
51,12-Jan-2018,2018.0,Unprovoked,BRAZIL,M,20,N,Tarde,0,1,0
52,05-Jan-2018,2018.0,Unprovoked,AUSTRALIA,M,Não informada,N,Manhã,0,1,0
53,31-Dec-2017,2017.0,Unprovoked,USA,F,54,N,Tarde,0,0,1
54,30-Dec-2017,2017.0,Unprovoked,USA,F,35,N,Manhã,0,0,1
55,21-Dec-2017,2017.0,Provoked,MALAYSIA,M,24,N,Manhã,0,1,0
56,09-Dec-2017,2017.0,Unprovoked,BAHAMAS,F,25,N,Manhã,0,0,1
57,30-Nov-2017,2017.0,Unprovoked,COSTA RICA,M,26,N,Manhã,0,1,0
58,30-Nov-2017,2017.0,Unprovoked,COSTA RICA,F,49,Y,Manhã,1,0,1
60,24-Nov-2017,2017.0,Unprovoked,USA,M,25,N,Manhã,0,1,0
61,18-Nov-2017,2017.0,Unprovoked,USA,F,14,N,Tarde,0,0,1
63,13-Nov-2017,2017.0,Unprovoked,AUSTRALIA,M,25,N,Tarde,0,1,0
64,04-Nov-2017,2017.0,Unprovoked,CUBA,M,22,Y,Noite,1,1,0
65,31-Oct-2017,2017.0,Unprovoked,AUSTRALIA,M,7,N,Manhã,0,1,0
66,28-Oct-2017,2017.0,Unprovoked,AUSTRALIA,M,31,N,Manhã,0,1,0
67,26-Oct-2017,2017.0,Unprovoked,USA,M,Não informada,N,Tarde,0,1,0
68,23-Oct-2017,2017.0,Unprovoked,MAURITIUS,M,Não informada,N,Tarde,0,1,0
69,23-Oct-2017,2017.0,Unprovoked,USA,M,17,N,Tarde,0,1,0
70,23-Oct-2017,2017.0,Unprovoked,USA,F,60,N,Manhã,0,0,1
71,22-Oct-2017,2017.0,Unprovoked,AUSTRALIA,F,15,N,Tarde,0,0,1
72,21-Oct-2017,2017.0,Unprovoked,NEW ZEALAND,M,Não informada,N,Manhã,0,1,0
73,18-Oct-2017,2017.0,Unprovoked,USA,M,Não informada,N,Tarde,0,1,0
74,09-Oct-2017,2017.0,Unprovoked,USA,M,54,N,Tarde,0,1,0
75,05-Oct-2017,2017.0,Unprovoked,USA,F,40,N,Manhã,0,0,1
76,01-Oct-2017,2017.0,Invalid,SOUTH AFRICA,M,31,N,Manhã,0,1,0
77,25-Sep-2017,2017.0,Unprovoked,USA,M,Não informada,N,Manhã,0,1,0
78,25-Sep-2017,2017.0,Unprovoked,AUSTRALIA,M,Não informada,N,Tarde,0,1,0
79,24-Sep-2017,2017.0,Invalid,USA,M,33,N,Tarde,0,1,0
80,24-Sep-2017,2017.0,Unprovoked,USA,M,Não informada,N,Tarde,0,1,0
81,20-Sep-2017,2017.0,Unprovoked,USA,M,Não informada,N,Manhã,0,1,0
82,16-Sep-2017,2017.0,Unprovoked,SPAIN,M,13,N,Manhã,0,1,0
83,16-Sep-2017,2017.0,Unprovoked,USA,M,28,N,Tarde,0,1,0
84,15-Sep-2017,2017.0,Invalid,SOUTH AFRICA,M,25,N,Tarde,0,1,0
87,13-Sep-2017,2017.0,Unprovoked,USA,M,18,N,Tarde,0,1,0
88,10-Sep-2017,2017.0,Unprovoked,AUSTRALIA,M,Não informada,N,Tarde,0,1,0
89,10-Sep-2017,2017.0,Unprovoked,AUSTRALIA,M,35,N,Manhã,0,1,0
90,06-Sep-2017,2017.0,Unprovoked,SOLOMON ISLANDS,M,Não informada,N,Manhã,0,1,0
91,03-Sep-2017,2017.0,Unprovoked,SOUTH AFRICA,M,Não informada,Y,Manhã,1,1,0
92,03-Sep-2017,2017.0,Unprovoked,JAPAN,M,42,N,Manhã,0,1,0
93,02-Sep-2017,2017.0,Unprovoked,USA,M,Não informada,N,Manhã,0,1,0
94,02-Sep-2017,2017.0,Unprovoked,USA,F,Não informada,N,Manhã,0,0,1
95,02-Sep-2017,2017.0,Unprovoked,USA,M,17,N,Manhã,0,1,0
96,29-Aug-2017,2017.0,Unprovoked,AUSTRALIA,M,37,N,Manhã,0,1,0
97,27-Aug-2017,2017.0,Unprovoked,USA,F,3,N,Manhã,0,0,1
98,26-Aug-2017,2017.0,Invalid,SPAIN,F,11,N,Manhã,0,0,1
99,26-Aug-2017,2017.0,Unprovoked,NEW ZEALAND,M,Não informada,N,Manhã,0,1,0
100,23-Aug-2017,2017.0,Unprovoked,USA,M,69,N,Manhã,0,1,0
101,18-Aug-2017,2017.0,Unprovoked,BAHAMAS,M,Não informada,N,Tarde,0,1,0
102,10-Aug-2017,2017.0,Unprovoked,USA,M,13,N,Manhã,0,1,0
103,05-Aug-2017,2017.0,Unprovoked,EGYPT,F,20,N,Manhã,0,0,1
104,03-Aug-2017,2017.0,Provoked,USA,M,34,N,Noite,0,1,0
105,01-Aug-2017,2017.0,Boating,USA,M,Não informada,N,Manhã,0,1,0
106,31-Jul-2017,2017.0,Unprovoked,USA,M,15,N,Tarde,0,1,0
107,29-Jul-2017,2017.0,Invalid,USA,M,10,N,Tarde,0,1,0
108,29-Jul-2017,2017.0,Unprovoked,USA,F,12,N,Tarde,0,0,1
109,27-Jul-2017,2017.0,Unprovoked,BAHAMAS,F,Não informada,N,Manhã,0,0,1
110,26-Jul-2017,2017.0,Unprovoked,BAHAMAS,M,Não informada,N,Manhã,0,1,0
111,24-Jul-2017,2017.0,Unprovoked,"ST HELENA, BRITISH OVERSEAS TERRITORY",M,37,N,Tarde,0,1,0
112,23-Jul-2017,2017.0,Unprovoked,USA,F,Não informada,N,Manhã,0,0,1
113,23-Jul-2017,2017.0,Unprovoked,SPAIN,F,Não informada,N,Tarde,0,0,1
114,22-Jul-2017,2017.0,Unprovoked,USA,F,40,N,Manhã,0,0,1
115,20-Jul-2017,2017.0,Invalid,USA,F,8,N,Manhã,0,0,1
116,20-Jul-2017,2017.0,Boating,USA,M,40,N,Manhã,0,1,0
117,20-Jul-2017,2017.0,Unprovoked,USA,M,50,N,Manhã,0,1,0
118,14-Jul-2017,2017.0,Unprovoked,USA,M,Não informada,N,Tarde,0,1,0
119,14-Jul-2017,2017.0,Unprovoked,AUSTRALIA,M,Não informada,N,Manhã,0,1,0
120,11-Jul-2017,2017.0,Boating,USA,M,Não informada,N,Manhã,0,1,0
121,09-Jul-2017,2017.0,Unprovoked,USA,M,46,N,Tarde,0,1,0
122,07-Jul-2017,2017.0,Provoked,MEXICO,M,32,N,Manhã,0,1,0
123,07-Jul-2017,2017.0,Unprovoked,SOUTH AFRICA,F,13,N,Tarde,0,0,1
125,29-Jun-2017,2017.0,Invalid,USA,M,Não informada,N,Noite,0,1,0
126,21-Jun-2017,2017.0,Unprovoked,USA,F,16,N,Manhã,0,0,1
127,19-Jun-2017,2017.0,Unprovoked,USA,M,Não informada,N,Manhã,0,1,0
128,18-Jun-2017,2017.0,Unprovoked,USA,F,14,N,Manhã,0,0,1
129,18-Jun-2017,2017.0,Unprovoked,REUNION,M,34,N,Manhã,0,1,0
130,17-Jun-2017,2017.0,Unprovoked,SPAIN,M,82,N,Manhã,0,1,0
132,14-Jun-2017,2017.0,Unprovoked,BAHAMAS,F,Não informada,N,Manhã,0,0,1
133,11-Jun-2017,2017.0,Unprovoked,AUSTRALIA,M,48,N,Manhã,0,1,0
134,10-Jun-2017,2017.0,Unprovoked,AUSTRALIA,F,Não informada,N,Tarde,0,0,1
135,10-Jun-2017,2017.0,Unprovoked,USA,M,19,N,Manhã,0,1,0
136,07-Jun-2017,2017.0,Unprovoked,UNITED KINGDOM,M,30,N,Manhã,0,1,0
137,04-Jun-2017,2017.0,Unprovoked,USA,M,Não informada,N,Manhã,0,1,0
138,02-Jun-2017,2017.0,Unprovoked,BAHAMAS,F,32,N,Tarde,0,0,1
139,30-May-2017,2017.0,Provoked,USA,F,20,N,Manhã,0,0,1
140,28-May-2017,2017.0,Unprovoked,USA,M,Não informada,N,Manhã,0,1,0
141,27-May-2017,2017.0,Invalid,AUSTRALIA,M,73,N,Manhã,0,1,0
142,12-May-2017,2017.0,Unprovoked,UNITED ARAB EMIRATES,M,41,N,Manhã,0,1,0
143,06-May-2017,2017.0,Provoked,AUSTRALIA,M,29,N,Manhã,0,1,0
144,05-May-2017,2017.0,Unprovoked,MEXICO,M,33,Y,Tarde,1,1,0
145,03-May-2017,2017.0,Invalid,USA,F,18,N,Tarde,0,0,1
146,29-Apr-2017,2017.0,Unprovoked,USA,F,Não informada,N,Tarde,0,0,1
147,29-Apr-2017,2017.0,Unprovoked,SOUTH AFRICA,M,14,N,Tarde,0,1,0
148,29-Apr-2017,2017.0,Unprovoked,USA,F,33,N,Manhã,0,0,1
149,29-Apr-2017,2017.0,Unprovoked,REUNION,M,28,Y,Manhã,1,1,0
150,27-Apr-2017,2017.0,Unprovoked,NEW ZEALAND,F,20,N,Tarde,0,0,1
151,26-Apr-2017,2017.0,Invalid,USA,F,Não informada,N,Manhã,0,0,1
152,22-Apr-2017,2017.0,Unprovoked,"ST HELENA, BRITISH OVERSEAS TERRITORY",F,40,N,Tarde,0,0,1
153,20-Apr-2017,2017.0,Invalid,USA,M,Não informada,N,Manhã,0,1,0
155,17-Apr-2017,2017.0,Unprovoked,AUSTRALIA,F,17,Y,Tarde,1,0,1
156,14-Apr-2017,2017.0,Unprovoked,USA,M,28,N,Manhã,0,1,0
157,13-Apr-2017,2017.0,Unprovoked,USA,M,17,N,Manhã,0,1,0
158,12-Apr-2017,2017.0,Unprovoked,USA,F,Não informada,N,Manhã,0,0,1
159,12-Apr-2017,2017.0,Invalid,SOUTH AFRICA,M,68,N,Manhã,0,1,0
160,11-Apr-2017,2017.0,Unprovoked,USA,F,35,N,Tarde,0,0,1
161,10-Apr-2017,2017.0,Unprovoked,USA,F,10,N,Tarde,0,0,1
162,10-Apr-2017,2017.0,Unprovoked,USA,F,21,N,Tarde,0,0,1
163,06-Apr-2017,2017.0,Unprovoked,USA,M,16,N,Manhã,0,1,0
164,05-Apr-2017,2017.0,Unprovoked,USA,F,51,N,Manhã,0,0,1
165,02-Apr-2017,2017.0,Unprovoked,AUSTRALIA,M,39,N,Tarde,0,1,0
166,02-Apr-2017,2017.0,Unprovoked,USA,F,17,N,Tarde,0,0,1
167,27-Mar-2017,2017.0,Unprovoked,USA,M,58,N,Manhã,0,1,0
168,19-Mar-2017,2017.0,Unprovoked,AUSTRALIA,M,30,N,Tarde,0,1,0
169,18-Mar-2017,2017.0,Boating,USA,M,Não informada,N,Tarde,0,1,0
170,11-Mar-2017,2017.0,Unprovoked,PHILIPPINES,M,25,N,Manhã,0,1,0
171,09-Mar-2017,2017.0,Unprovoked,BAHAMAS,M,58,N,Manhã,0,1,0
172,25-Feb-2017,2017.0,Unprovoked,AUSTRALIA,F,Não informada,N,Manhã,0,0,1
173,24-Feb-2017,2017.0,Unprovoked,AUSTRALIA,M,Não informada,N,Manhã,0,1,0
174,21-Feb-2017,2017.0,Unprovoked,REUNION,M,26,Y,Manhã,1,1,0
175,17-Feb-2017,2017.0,Unprovoked,AUSTRALIA,M,26,N,Manhã,0,1,0
176,11-Feb-2017,2017.0,Unprovoked,USA,M,22,N,Manhã,0,1,0
177,06-Feb-2017,2017.0,Provoked,BRAZIL,F,Não informada,N,Tarde,0,0,1
178,06-Feb-2017,2017.0,Boating,SOUTH AFRICA,M,Não informada,N,Manhã,0,1,0
180,01-Feb-2017,2017.0,Unprovoked,BAHAMAS,M,37,N,Manhã,0,1,0
181,24-Jan-2017,2017.0,Unprovoked,BRAZIL,M,21,N,Manhã,0,1,0
182,22-Jan-2017,2017.0,Unprovoked,USA,M,10,N,Tarde,0,1,0
183,21-Jan-2017,2017.0,Unprovoked,AUSTRALIA,M,55,N,Manhã,0,1,0
184,13-Jan-2017,2017.0,Unprovoked,AUSTRALIA,M,57,N,Manhã,0,1,0
185,13-Jan-2017,2017.0,Unprovoked,USA,M,Não informada,N,Manhã,0,1,0
186,09-Jan-2017,2017.0,Unprovoked,INDONESIA,M,48,N,Manhã,0,1,0
188,05-Jan-2017,2017.0,Unprovoked,USA,M,47,N,Manhã,0,1,0
189,03-Jan-2017,2017.0,Invalid,AUSTRALIA,M,20,N,Tarde,0,1,0
190,27-Dec-2016,2016.0,Unprovoked,USA,M,16,N,Tarde,0,1,0
191,24-Dec-2016,2016.0,Unprovoked,AUSTRALIA,F,Não informada,N,Manhã,0,0,1
192,19-Dec-2016,2016.0,Unprovoked,SOUTH AFRICA,M,55,N,Manhã,0,1,0
193,14-Dec-2016,2016.0,Unprovoked,AUSTRALIA,M,61,N,Manhã,0,1,0
194,11-Dec-2016,2016.0,Unprovoked,FRENCH POLYNESIA,M,40,N,Manhã,0,1,0
195,11-Dec-2016,2016.0,Invalid,USA,M,19,N,Tarde,0,1,0
196,06-Dec-2016,2016.0,Provoked,AUSTRALIA,M,20,N,Madrugada,0,1,0
197,01-Dec-2016,2016.0,Unprovoked,AUSTRALIA,M,65,N,Manhã,0,1,0
198,28-Nov-2016,2016.0,Provoked,AUSTRALIA,M,73,N,Manhã,0,1,0
199,14-Nov-2016,2016.0,Unprovoked,USA,F,58,N,Manhã,0,0,1
200,30-Oct-2016,2016.0,Unprovoked,USA,M,41,N,Tarde,0,1,0
201,29-Oct-2016,2016.0,Unprovoked,USA,M,42,N,Tarde,0,1,0
202,24-Oct-2016,2016.0,Unprovoked,AUSTRALIA,M,36,N,Manhã,0,1,0
203,21-Oct-2016,2016.0,Unprovoked,USA,M,36,N,Tarde,0,1,0
204,15-Oct-2016,2016.0,Unprovoked,AUSTRALIA,M,Não informada,N,Tarde,0,1,0
205,14-Oct-2016,2016.0,Unprovoked,USA,F,66,N,Manhã,0,0,1
206,13-Oct-2016,2016.0,Invalid,MEXICO,M,Não informada,N,Manhã,0,1,0
207,12-Oct-2016,2016.0,Unprovoked,AUSTRALIA,M,25,N,Manhã,0,1,0
208,10-Oct-2016,2016.0,Unprovoked,USA,M,29,N,Tarde,0,1,0
209,02-Oct-2016,2016.0,Unprovoked,USA,M,21,N,Manhã,0,1,0
210,01-Oct-2016,2016.0,Unprovoked,USA,M,32,N,Tarde,0,1,0
211,26-Sep-2016,2016.0,Unprovoked,AUSTRALIA,M,17,N,Manhã,0,1,0
212,18-Sep-2016,2016.0,Unprovoked,USA,M,16,N,Manhã,0,1,0
213,18-Sep-2016,2016.0,Unprovoked,USA,M,36,N,Manhã,0,1,0
214,18-Sep-2016,2016.0,Unprovoked,USA,M,43,N,Manhã,0,1,0
215,17-Sep-2016,2016.0,Unprovoked,USA,M,43,N,Tarde,0,1,0
216,17-Sep-2016,2016.0,Unprovoked,AUSTRALIA,M,Não informada,N,Manhã,0,1,0
217,16-Sep-2016,2016.0,Unprovoked,AUSTRALIA,M,Não informada,N,Manhã,0,1,0
219,11-Sep-2016,2016.0,Unprovoked,USA,M,60,N,Tarde,0,1,0
220,07-Sep-2016,2016.0,Unprovoked,USA,F,51,N,Tarde,0,0,1
221,06-Sep-2016,2016.0,Unprovoked,NEW CALEDONIA,M,50,Y,Tarde,1,1,0
222,05-Sep-2016,2016.0,Unprovoked,USA,F,12,N,Tarde,0,0,1
223,05-Sep-2016,2016.0,Unprovoked,AUSTRALIA,M,Não informada,N,Tarde,0,1,0
224,04-Sep-2016,2016.0,Unprovoked,USA,M,9,N,Manhã,0,1,0
225,01-Sep-2016,2016.0,Unprovoked,USA,M,22,N,Manhã,0,1,0
227,29-Aug-2016,2016.0,Unprovoked,USA,M,25,N,Tarde,0,1,0
228,29-Aug-2016,2016.0,Unprovoked,USA,M,37,N,Tarde,0,1,0
229,27-Aug-2016,2016.0,Unprovoked,REUNION,M,20,N,Tarde,0,1,0
230,25-Aug-2016,2016.0,Unprovoked,USA,M,49,N,Tarde,0,1,0
231,07-Aug-2016,2016.0,Unprovoked,BAHAMAS,M,15,N,Manhã,0,1,0
232,06-Aug-2016,2016.0,Unprovoked,USA,M,21,N,Tarde,0,1,0
233,04-Aug-2016,2016.0,Unprovoked,USA,M,22,N,Manhã,0,1,0
234,29-Jul-2016,2016.0,Unprovoked,SPAIN,M,40,N,Manhã,0,1,0
235,28-Jul-2016,2016.0,Unprovoked,CHINA,M,72,N,Manhã,0,1,0
236,28-Jul-2016,2016.0,Boating,AUSTRALIA,M,Não informada,N,Manhã,0,1,0
237,27-Jul-2016,2016.0,Provoked,USA,M,43,N,Manhã,0,1,0
238,26-Jul-2016,2016.0,Unprovoked,AUSTRALIA,M,18,N,Manhã,0,1,0
239,24-Jul-2016,2016.0,Unprovoked,JAPAN,M,29,N,Noite,0,1,0
240,23-Jul-2016,2016.0,Unprovoked,AUSTRALIA,M,36,N,Manhã,0,1,0
241,23-Jul-2016,2016.0,Unprovoked,BAHAMAS,M,Não informada,N,Manhã,0,1,0
242,20-Jul-2016,2016.0,Provoked,AUSTRALIA,M,31,N,Tarde,0,1,0
244,16-Jul-2016,2016.0,Unprovoked,USA,F,9,N,Manhã,0,0,1
245,16-Jul-2016,2016.0,Unprovoked,USA,F,11,N,Manhã,0,0,1
246,15-Jul-2016,2016.0,Unprovoked,USA,M,61,N,Tarde,0,1,0
247,15-Jul-2016,2016.0,Unprovoked,USA,M,Não informada,N,Manhã,0,1,0
248,14-Jul-2016,2016.0,Unprovoked,BAHAMAS,M,Não informada,N,Manhã,0,1,0
249,08-Jul-2016,2016.0,Unprovoked,SPAIN,F,10,N,Manhã,0,0,1
250,08-Jul-2016,2016.0,Boating,USA,M,Não informada,N,Manhã,0,1,0
251,07-Jul-2016,2016.0,Provoked,USA,M,59,N,Manhã,0,1,0
252,07-Jul-2016,2016.0,Boating,USA,M,Não informada,N,Manhã,0,1,0
253,06-Jul-2016,2016.0,Unprovoked,USA,F,42,N,Tarde,0,0,1
254,04-Jul-2016,2016.0,Provoked,AUSTRALIA,M,34,N,Noite,0,1,0
255,27-Jun-2016,2016.0,Unprovoked,USA,M,35,N,Tarde,0,1,0
256,25-Jun-2016,2016.0,Unprovoked,USA,M,11,N,Tarde,0,1,0
257,24-Jun-2016,2016.0,Unprovoked,COLUMBIA,M,59,N,Manhã,0,1,0
258,23-Jun-2016,2016.0,Unprovoked,SOUTH AFRICA,M,43,N,Manhã,0,1,0
259,21-Jun-2016,2016.0,Unprovoked,USA,M,42,N,Tarde,0,1,0
260,21-Jun-2016,2016.0,Unprovoked,USA,M,Não informada,N,Tarde,0,1,0
261,15-Jun-2016,2016.0,Unprovoked,USA,M,Não informada,N,Manhã,0,1,0
262,15-Jun-2016,2016.0,Provoked,AUSTRALIA,M,19,N,Manhã,0,1,0
263,14-Jun-2016,2016.0,Unprovoked,USA,F,6,N,Tarde,0,0,1
264,11-Jun-2016,2016.0,Unprovoked,USA,M,19,N,Tarde,0,1,0
265,07-Jun-2016,2016.0,Invalid,USA,M,27,N,Manhã,0,1,0
266,05-Jun-2016,2016.0,Unprovoked,USA,M,64,N,Manhã,0,1,0
267,05-Jun-2016,2016.0,Unprovoked,AUSTRALIA,F,60,Y,Manhã,1,0,1
268,04-Jun-2016,2016.0,Unprovoked,EGYPT,M,23,N,Manhã,0,1,0
269,02-Jun-2016,2016.0,Unprovoked,AUSTRALIA,M,Não informada,N,Manhã,0,1,0
270,02-Jun-2016,2016.0,Unprovoked,NEW CALEDONIA,M,Não informada,N,Tarde,0,1,0
271,31-May-2016,2016.0,Unprovoked,AUSTRALIA,M,29,Y,Tarde,1,1,0
272,29-May-2016,2016.0,Unprovoked,USA,F,52,N,Tarde,0,0,1
273,29-May-2016,2016.0,Unprovoked,USA,M,13,N,Tarde,0,1,0
274,22-May-2016,2016.0,Unprovoked,USA,F,57,N,Manhã,0,0,1
275,21-May-2016,2016.0,Unprovoked,USA,F,22,N,Tarde,0,0,1
276,21-May-2016,2016.0,Unprovoked,USA,F,11,N,Tarde,0,0,1
277,18-May-2016,2016.0,Unprovoked,USA,M,48,N,Manhã,0,1,0
278,15-May-2016,2016.0,Provoked,USA,F,23,N,Manhã,0,0,1
279,03-May-2016,2016.0,Unprovoked,USA,M,59,N,Tarde,0,1,0
280,02-May-2016,2016.0,Provoked,NEW ZEALAND,M,39,N,Tarde,0,1,0
281,25-Apr-2016,2016.0,Unprovoked,INDONESIA,M,24,N,Manhã,0,1,0
282,23-Apr-2016,2016.0,Unprovoked,USA,M,15,N,Tarde,0,1,0
283,22-Apr-2016,2016.0,Unprovoked,SOUTH AFRICA,M,Não informada,N,Manhã,0,1,0
284,19-Apr-2016,2016.0,Unprovoked,AUSTRALIA,M,12,N,Manhã,0,1,0
285,18-Apr-2016,2016.0,Provoked,FRENCH POLYNESIA,M,22,N,Manhã,0,1,0
286,18-Apr-2016,2016.0,Provoked,FRENCH POLYNESIA,M,26,N,Manhã,0,1,0
287,13-Apr-2016,2016.0,Unprovoked,USA,M,26,N,Manhã,0,1,0
288,09-Apr-2016,2016.0,Unprovoked,NEW CALEDONIA,F,69,Y,Manhã,1,0,1
289,08-Apr-2016,2016.0,Invalid,CAPE VERDE,M,60,N,Manhã,0,1,0
290,07-Apr-2016,2016.0,Unprovoked,USA,M,34,N,Manhã,0,1,0
291,07-Apr-2016,2016.0,Invalid,USA,M,Não informada,N,Manhã,0,1,0
292,31-Mar-2016,2016.0,Unprovoked,USA,F,46,N,Manhã,0,0,1
293,30-Mar-2016,2016.0,Unprovoked,AUSTRALIA,M,22,N,Noite,0,1,0
294,28-Mar-2016,2016.0,Unprovoked,USA,M,10,N,Manhã,0,1,0
295,28-Mar-2016,2016.0,Unprovoked,AUSTRALIA,M,41,N,Manhã,0,1,0
296,26-Mar-2016,2016.0,Provoked,BAHAMAS,M,9,N,Manhã,0,1,0
298,11-Mar-2016,2016.0,Unprovoked,USA,M,19,N,Manhã,0,1,0
299,10-Mar-2016,2016.0,Unprovoked,FIJI,M,45,Y,Tarde,1,1,0
300,04-Mar-2016,2016.0,Unprovoked,USA,M,12,N,Tarde,0,1,0
301,03-Mar-2016,2016.0,Unprovoked,AUSTRALIA,M,Não informada,N,Noite,0,1,0
302,02-Mar-2016,2016.0,Unprovoked,BRAZIL,M,41,N,Manhã,0,1,0
303,22-Feb-2016,2016.0,Unprovoked,NEW CALEDONIA,M,21,N,Noite,0,1,0
304,19-Feb-2016,2016.0,Unprovoked,NEW CALEDONIA,M,31,N,Tarde,0,1,0
305,12-Feb-2016,2016.0,Unprovoked,DOMINICAN REPUBLIC,F,Não informada,N,Tarde,0,0,1
306,10-Feb-2016,2016.0,Invalid,CAYMAN ISLANDS,M,65,N,Manhã,0,1,0
307,10-Feb-2016,2016.0,Invalid,AUSTRALIA,M,Não informada,N,Manhã,0,1,0
308,05-Feb-2016,2016.0,Unprovoked,AUSTRALIA,F,45,N,Manhã,0,0,1
309,04-Feb-2016,2016.0,Unprovoked,AUSTRALIA,M,40,N,Tarde,0,1,0
310,02-Feb-2016,2016.0,Unprovoked,BRAZIL,M,41,N,Manhã,0,1,0
311,29-Jan-2016,2016.0,Boating,SOUTH AFRICA,M,Não informada,N,Manhã,0,1,0
312,28-Jan-2016,2016.0,Unprovoked,USA,M,Não informada,N,Tarde,0,1,0
313,25-Jan-2016,2016.0,Unprovoked,USA,F,15,N,Manhã,0,0,1
314,24-Jan-2016,2016.0,Unprovoked,USA,M,Não informada,N,Manhã,0,1,0
315,24-Jan-2016,2016.0,Boating,UNITED ARAB EMIRATES,M,Não informada,N,Manhã,0,1,0
316,23-Jan-2016,2016.0,Unprovoked,USA,M,48,N,Manhã,0,1,0
